inPortNo,portTimeTotal,portTimeTotalCargo,portTimeTotalTanker,period
50030,470310800,108493552,271414047,201907
50030,479578657,105613530,286801502,201908
50030,475552719,112041451,275868048,201909
50030,524708659,119841790,315621429,201910
50055,755281345,203584469,314759475,201907
50055,760719412,198493258,334244246,201908
50055,785533208,205831963,323053987,201909
50180,168602,2151,166451,201909
50180,177855,0,168136,201910
50180,170899,0,0,201911
50231,1913364,0,1369489,201911
50231,2497151,0,2050345,202000
50250,728050,448895,0,201907
50040,2732783,1121043,48428,202000
50045,240,180,60,201907
50045,8609,0,1797,201908
50100,34207,0,0,201910
50100,47341,0,15660,201911
50100,88728,12358,0,202000
50060,24083335,10194411,6958564,201911
50060,26268167,9285546,9393004,202000
50070,377659,373211,0,201907
50070,558636,556405,2231,201908
50070,690853,689243,1610,201909
50070,775219,757078,0,201910
50070,229874,225897,3977,201911
50070,15300,11880,3420,202000
50100,20227,10203,0,201907
50100,58666,4225,491,201908
50100,59577,0,0,201909
50231,2004705,0,1487877,201907
50231,2774181,0,2471377,201908
50231,1081389,0,842552,201909
50231,1682962,0,1243284,201910
50210,2785367,492415,756375,201910
50210,2536109,918746,592480,201911
50210,1248353,186110,311050,202000
50250,1638639,15578,0,201908
50250,13068,12996,0,201909
50250,1222694,1134502,0,201910
50250,763783,33900,15479,201911
50380,35401505,15182228,12315272,201908
50380,48776204,22628867,17216158,201909
50380,49172690,27003451,14404314,201910
51205,1563861,133945,49564,201908
51205,2543517,340,7300,201909
51205,60430,1281,23436,201910
50380,47281851,23365440,16453556,201911
50380,46707167,23199963,14685105,202000
50440,737,737,0,201907
50450,17410998,6972008,9577574,201909
50450,18220841,11814686,5653710,201910
50450,24935978,13223561,9752884,201911
50350,11657149,97439,6522942,201907
50350,11812842,29987,6437311,201908
50350,14160855,18181,6287767,201909
51340,455847,437565,18282,201908
51340,742882,500106,32942,201909
51340,789142,641617,147525,201910
51340,1264899,1127828,137071,201911
51220,31111242,11707909,16421407,202000
51254,1116658,1089477,27181,201907
51254,415097,147611,267486,201908
51320,1455805,692986,581735,201910
51320,1021304,177653,302147,201911
51320,1877444,558086,607066,202000
52040,237684,2530,235154,201910
52040,791248,25543,639951,201911
52040,748966,2951,154884,202000
52140,10444,0,10444,201910
52140,32236,0,32236,201911
52140,95379,0,95379,202000
52220,1097045,652159,271765,201907
52260,8965880,1377872,4870231,202000
52270,231043,206777,15241,201907
52270,465926,453573,12353,201908
50441,7390210,2946356,2931135,201908
50441,3383779,937021,998878,201909
50441,6311838,2217792,1192341,201910
50450,17552454,9110617,6525061,202000
50510,812240,444942,79116,201907
50510,364692,295930,0,201908
50510,1509508,31148,238889,201909
52940,804611,578436,81335,201911
52940,322449,109459,199952,202000
53000,40501,0,0,201907
53000,281325,243118,0,201908
50600,840446,644547,0,201910
50600,1387624,705989,106207,201911
50600,640675,337186,303489,202000
50610,17350,17170,180,201908
50610,11767,0,0,201909
50610,7020,7020,0,201910
50610,89845,1960,0,201911
50516,364428557,16558233,300924708,201911
50516,316303576,16922698,256133534,202000
50517,5481815,3106689,2187377,201907
53050,3116905,4921,0,201909
53050,2986798,5739,0,201910
53050,2482290,41,3392,201911
50785,45353385,8895686,30678953,202000
50790,265129,14399,0,201907
50790,25852,3151,3262,201908
50790,26068,13311,12757,201909
50517,8825678,4782250,3648544,201908
50517,3829929,1730219,1786202,201909
50517,6396698,2255043,3390525,201910
50517,6072340,1938453,2851452,201911
50790,45914,0,0,201910
50790,32779,0,4517,201911
50790,54381,22668,0,202000
50925,17697,11656,4242,202000
50930,24069,5138,9082,201907
50930,77515,5358,68244,201908
50932,2975,2108,300,201910
50932,3278,1086,1383,201911
50932,21844,15131,5045,202000
50045,0,0,0,201909
50045,236804,212123,7920,201910
50045,69128,37718,3511,201911
50045,17771,5778,632,202000
50971,30971348,19574861,7006796,201909
50971,28665694,16961871,5562157,201910
50971,36037254,24150696,6755301,201911
50971,31566468,17387301,7804813,202000
50120,100852,44989,382,201911
50120,289168,94431,54092,202000
50140,41999464,18145127,20428037,201907
50440,1939,1939,0,201908
50440,0,0,0,201910
50440,577,38,539,202000
50441,6806990,2451843,1651226,201907
50517,5690615,2775041,2211715,202000
50518,3043214,630699,833939,201907
50518,2469700,816862,311542,201908
50700,4027740,3718177,309563,201910
50700,5101329,3796200,180053,201911
50700,2412303,1846197,0,202000
50730,28101288,12994165,13365153,201907
51280,6470162,2631362,703320,201911
51280,7769984,2731057,610419,202000
51290,1895537,6619,0,201907
51290,116232,0,0,201908
50730,13710682,6893320,4844403,201908
50730,18935776,7170233,8062024,201909
50730,14254410,6022610,4747397,201910
51290,13697,10505,3192,202000
51320,1037710,879532,24975,201907
51320,983302,578020,282159,201908
51320,1338656,721683,347835,201909
50930,230282,221266,2357,201909
50930,22062,10640,3382,201910
50930,17544,7976,5570,201911
51020,2777378,16179,0,201908
51020,1255318,0,0,201909
51020,2341112,0,3301,201910
50930,98079,70868,20137,202000
50932,4923,65,1963,201907
50932,5991,366,1806,201908
50932,2273,943,251,201909
52090,1276079,1276079,0,201908
52090,139902,0,139902,201909
52090,513606,456448,57158,201910
52090,86022,48715,37307,201911
52090,309426,160775,148651,202000
52140,136080,136080,0,201907
52140,135227,129778,5449,201909
51010,9991360,2597984,339629,201907
51010,9941982,3881531,551079,201908
51010,14496353,3954951,711190,201909
52270,187205,159441,23832,201909
52270,262018,238027,11020,201910
52270,1598204,1469850,109888,201911
52870,1455645,0,0,201907
52870,1305622,0,0,201908
52870,1549842,0,0,201909
51010,9244992,3670327,1025167,201910
51010,7461476,1007153,1523710,201911
51010,9834510,1591414,3047742,202000
51020,167865,12329,0,201907
51070,210633,19503,16841,201910
51070,750298,14737,3369,201911
51070,79366,10072,38773,202000
51100,39235612,8503511,14802349,201907
51100,43225996,11141229,14432803,201908
51100,41604270,11782500,13042968,201909
51100,36951496,9985187,12228562,201910
51200,10673850,53029,10077573,201910
51200,10911070,19323,9553496,201911
51200,11291869,2634,10730423,202000
51205,2743427,2323925,14731,201907
51205,1998421,1473237,17191,201911
51205,2194874,1380629,24396,202000
51220,38844409,10096772,26014570,201907
51220,49038074,18039490,27808207,201908
51350,885179,590825,140606,201909
51350,467435,253433,17871,201910
51350,110154,120,64677,201911
51350,266964,266964,0,202000
51400,9937917,2200985,1550837,201907
51400,9306035,2440735,1608876,201908
51400,9349308,2532664,1581381,201909
51501,13512,5771,6299,201909
51501,2303728,41,0,201910
51501,57879,9723,0,201911
51501,154901,104639,42519,202000
51502,101164,0,0,201907
51502,173735,0,26435,201908
51502,1877707,5954,386540,201909
51815,113287051,98636657,4030655,201907
51815,89703467,67979153,8169542,201908
51815,102371185,81915966,9849529,201909
51815,117154468,99544815,6394240,201910
51815,93464094,78116826,5697230,201911
51815,115837583,96860082,7010909,202000
51820,7010848,763526,556636,201907
51855,100215,58635,16104,201909
51855,159823,23241,16349,201910
51855,227163,19197,53086,201911
51855,166762,54403,56121,202000
51860,759,0,0,201907
51860,501,199,0,201908
51860,770,770,0,201909
51890,13075865,1810897,1199856,201910
51890,14092379,2339755,461380,201911
51890,12679134,2607358,1375160,202000
51910,6969470,4009921,2386062,201907
51910,6847010,3966214,2773048,201908
51910,5244076,2407571,1842432,201909
51910,6260293,2517546,1362202,201910
52065,21621377,9366272,6056938,201911
52065,15469439,6512459,5406939,202000
52090,1648200,1438924,531,201907
52220,1246817,836789,400519,201911
52220,821226,417367,300252,202000
52230,2745785,2059397,686388,201907
52230,3774278,2109599,1664679,201908
52240,35710673,32336705,1873835,201911
52240,45761532,42588701,2758927,202000
52260,4983758,400236,3464917,201907
52270,222576,160180,47949,202000
52295,4225914,3614725,611189,201907
52295,4573097,4364264,208833,201908
52295,11432429,10707248,725181,201909
52440,2107315,2107315,0,201910
52440,3196328,3064378,131950,201911
52440,581984,581984,0,202000
52480,1522,1522,0,201910
52510,2910025,181852,1127009,201908
52510,1804691,497142,507745,201909
52510,1942248,199673,324446,201910
52510,5470874,294494,355594,201911
52680,294274,4571,0,201911
52680,1888463,1546772,212426,202000
52695,2849039,0,293782,201907
52695,1707857,4193,649346,201908
51030,41403,3024,10327,202000
51040,13761603,7790891,2663464,201907
51040,14018021,7968490,2414866,201908
51040,14153220,8662482,2201375,201909
51100,37956984,13078969,7209409,201911
51100,38712275,9706955,11395054,202000
51120,456960,0,0,201907
51120,1184787,0,0,201910
51130,88476929,53253670,16010108,201908
51130,93166762,54501725,21891491,201909
51130,96052965,50932679,25838958,201910
51130,122390721,61514485,32627702,201911
52720,17830083,3459274,8926709,201910
52720,22827898,4969353,11769684,201911
52720,19054312,6373595,8581129,202000
51260,12559182,63135,5827301,201907
51260,12188363,0,3991292,201908
51260,16594261,0,4138814,201909
51260,13993255,256427,4394182,201910
51260,8266998,279,2592283,201911
51260,10526959,63630,4305155,202000
51280,7496094,2358868,2110314,201907
51340,1542938,781965,760973,202000
51350,366981,167901,0,201907
51350,1337406,1266426,0,201908
51400,13786966,3324294,4783696,201910
51400,14013770,2977737,5300688,201911
51400,13148589,2891941,3934381,202000
51502,1082382,0,0,201910
51502,1318818,0,0,201911
51502,1040634,15339,182881,202000
51504,6539141,79724,2702304,201907
53010,4000802,3228261,129103,201910
53010,6509530,5612216,204402,201911
53010,2587198,1667116,206252,202000
53020,10230918,3969254,1328151,201907
51504,4150371,282198,818434,201911
51504,6517854,116814,698778,202000
51770,16763917,13761781,904519,201907
51770,20329139,16910563,920910,201908
51780,44102,0,0,201910
51780,2105,0,0,202000
51800,1120697,1120697,0,201907
51800,247462,246943,0,202000
51803,35952047,35722675,229372,201907
51803,28449805,27510801,812651,201908
51820,7318345,828230,1092158,201908
51820,13636805,1271753,1525362,201909
51820,7591463,238201,459647,201910
51820,3413006,296226,1476617,201911
51820,6085403,1750859,434660,202000
51830,8917518,348186,462730,201907
51830,9257668,137844,240460,201908
51845,100526020,23676297,47914450,201911
51845,97684283,26040844,43004716,202000
51850,1871781,1545739,4702,201907
51850,1640702,1625562,3251,201908
51850,2450465,2143571,6004,202000
51855,77164,16568,18651,201907
51855,92965,36718,22409,201908
51865,2073544,1439829,9734,201911
51865,393090,381568,0,202000
51870,33788041,12875281,13027621,201907
51870,30340796,8940744,11327788,201908
53020,9227995,2865493,2288811,201908
53020,9996532,4651223,1017126,201909
53020,14370770,2479518,4487226,201910
51910,7089511,1695041,4025123,201911
51910,7103650,2722643,3137405,202000
51920,2315481,1848863,152071,201907
51920,2686870,1729354,507481,201908
51920,2053806,1110709,823953,201909
51920,3618580,1371149,2078348,201910
51920,2392225,948237,1382472,201911
52065,19798882,7638208,6410581,201907
52065,21536068,8250018,3661111,201908
52065,16811592,6477543,4532523,201909
52065,20266682,7729000,6150042,201910
53130,5445638,845689,178061,202000
53133,5107825,940253,1230128,201907
53133,5758123,1699646,1009777,201908
50040,2825978,119342,10689,201908
50040,536046,0,7688,201909
50040,1587496,755221,3510,201910
50040,1590783,938534,295049,201911
50055,846848439,223725685,350021673,201910
50055,876487782,237261995,364796868,201911
50055,771281365,218710720,293958512,202000
50060,22879354,10527592,6719666,201907
50120,140784,50981,1620,201907
50120,259996,75971,25664,201908
50120,124888,55595,5952,201909
50120,110360,90190,0,201910
53133,8000842,1666517,966660,201909
53133,8838288,2008382,1128341,201910
53133,8279739,1733250,1341995,201911
53133,8780844,1986799,1438934,202000
50140,45903725,21860211,17266736,201911
50140,46006516,19151860,17689469,202000
50180,4571,4571,0,201907
50180,9490,0,9490,201908
50250,797849,13875,0,202000
50300,37243736,9484252,14482718,201907
50300,30530387,4455113,14961505,201908
50300,30879151,9190152,15014443,201909
50300,34999381,6355118,16494733,201910
50300,32969574,7070543,13946100,201911
50300,36216430,9349759,14548886,202000
50350,18078359,74367,5827517,201910
50350,17816669,860860,6104544,201911
50350,17258223,356817,5782533,202000
50380,36210609,14429017,11774774,201907
50441,10921628,3831564,2353873,201911
50441,5335904,1244611,2012035,202000
50450,19288454,9036965,7845313,201907
50450,23672918,8464846,12105043,201908
50518,4768935,2170533,1948772,201909
50518,5166720,2100915,1144881,201910
50518,4059033,1342301,735284,201911
50518,2320884,484918,883317,202000
52510,4892638,712733,652759,202000
52523,1551653,0,84705,201907
52523,1322717,0,77,201908
52560,8251,8251,0,202000
52660,174177,0,127807,201907
52660,13464,0,0,201908
51850,379428,379428,0,201909
51850,475456,464107,0,201910
51850,1962967,1962966,1,201911
52230,2241843,1547161,400610,202000
52235,2151565,1877079,274486,201907
52235,2344150,1744505,175260,201908
52235,2239576,1456434,569559,201909
52260,7572237,299029,5097466,201908
52260,10530050,1361926,8174385,201909
52260,8445074,1225503,6654139,201910
52260,6824625,1555819,4896583,201911
52295,22632032,21323700,343379,201910
52295,18676457,17659207,890892,201911
52295,15133401,13832482,789973,202000
52350,2330215,1537035,793180,201909
52350,1612374,1262764,349610,201910
52350,604262,581820,22442,201911
52350,2981499,2454686,75386,202000
52440,1791780,1791780,0,201907
52440,2678142,2678142,0,201908
52440,2591977,2591977,0,201909
52660,301,301,0,201910
52660,43732,14807,899,201911
52660,73800,54029,0,202000
52680,25362,0,0,201907
52695,828176,24322,419631,201909
52695,2795099,0,552359,201910
52695,2725733,0,471471,201911
52940,277430,0,92413,201908
52940,185610,25191,0,201909
52940,356135,352553,0,201910
53000,247599,247599,0,201909
53000,426682,374278,0,201910
53000,227817,227817,0,201911
53100,172841,0,70960,201910
53100,82304,72999,0,201911
53100,589254,121963,57756,202000
53115,14786761,11384102,299776,201907
53115,15181634,10993040,433051,201908
53115,16545675,12263049,668533,201909
53115,17643123,12802492,563122,201910
noPort,1468546868,681032206,303499476,201907
noPort,1500798685,667149572,309485626,201908
noPort,1505517233,664132314,319267608,201909
50600,372091,142737,97314,201907
50600,1067524,840818,16020,201908
50600,1241917,521711,339,201909
50700,2288990,1476178,812812,201907
50700,4388746,3147278,1241468,201908
50700,4464336,4057649,406687,201909
50730,13722222,7548513,5805585,201911
50730,12748944,5894656,4544390,202000
50785,36464052,7804303,24903268,201907
50785,25525392,4790985,17746454,201908
50785,41901635,6167679,32948182,201909
50785,51673229,7704013,39772206,201910
50785,34396234,8164357,23706728,201911
50030,509980355,124484390,295258555,201911
50030,475535430,122907607,253956592,202000
50040,3041607,365876,1249,201907
50060,28250131,10942714,10504254,201908
50060,26204868,12168981,5907719,201909
50060,37396597,14630919,13007204,201910
50925,6508,2734,762,201908
50925,3253,1159,30,201909
50925,3067,2227,341,201910
50925,2665,1258,1047,201911
50935,122738241,48102942,43193487,201907
50935,149064402,62329131,42307011,201908
50935,134822802,48512201,50461835,201909
50935,141524333,50716258,48324845,201910
50970,174409116,92214228,36940691,202000
50971,40398059,25257713,7278944,201907
50971,37486389,22644684,8383799,201908
51040,17817667,7839693,2909219,201910
51040,24163659,13105850,3123702,201911
51040,21769876,10120831,5876386,202000
51070,35130,23840,5939,201907
51070,153090,6391,3430,201908
51070,34368,29792,4576,201909
51120,2004698,0,0,201911
51120,2080474,0,0,202000
51130,99810516,53519811,24634477,201907
51130,107650330,61157149,24302216,202000
51180,4316651,1321830,201099,201907
51180,2661024,2462516,158377,201908
51220,35130254,11936125,20874477,201909
51220,34308072,12157191,17419017,201910
51220,37831749,14693271,20497405,201911
51254,888789,765632,123157,201909
51254,847610,673921,173689,201910
51254,1132383,904482,227812,201911
51254,1814729,1259545,185391,202000
51290,626770,356220,0,201909
51290,147782,147782,0,201910
51290,4265,4265,0,201911
50140,46217101,17807476,23830740,201908
50140,54166198,19252520,28068961,201909
50140,48270199,17836273,23618776,201910
50180,5397,0,0,202000
50210,1963477,888560,939847,201907
50210,2089020,779428,202019,201908
50210,2208433,522596,462059,201909
50330,0,0,0,201911
50340,16917730,67574,657556,201907
50340,22969434,292551,523718,201908
50340,19571317,161267,1484560,201909
50340,17389165,199951,238038,201910
50340,16100836,121225,841416,201911
50340,16996561,410623,1304192,202000
50510,1143620,271797,275610,201910
50510,1171442,398287,0,201911
50510,1781783,368463,64621,202000
50516,286367208,13158781,232369965,201907
50516,317103671,15394791,263890630,201908
50516,316206511,13908562,268515806,201909
50516,327156877,11807284,270711661,201910
51330,167636,86420,81216,201911
51330,256897,0,194797,202000
51340,616221,409842,206379,201907
51484,2969544,654239,0,201911
51484,3363062,0,96305,202000
51500,733990,285247,0,201907
50610,373463,256576,23636,202000
50650,634253,0,440392,201907
50650,992267,511309,480958,201908
50650,39874,39874,0,201909
50650,330369,243067,87302,201910
50650,303545,180018,123527,201911
50650,724762,144745,575336,202000
51500,1870264,118828,0,202000
51501,24073,0,0,201907
51501,29158,16920,0,201908
50805,5913379,1640193,546013,201907
50805,5915033,1638791,1418395,201908
50805,5084487,1410284,1062425,201909
50805,8399974,2600344,2999643,201910
50805,7879280,1136045,3808552,201911
50805,9199243,1376917,4872973,202000
50925,2595,600,1276,201907
51770,18109314,16194498,1332060,201909
51770,17362644,16425836,252188,201910
51770,12686221,12010015,278659,201911
51770,9558850,8458664,551254,202000
51780,87517,0,0,201907
51780,1076113,0,0,201908
51780,161581,0,0,201909
50935,160671465,56875618,52151608,201911
50935,143863558,52753661,47360910,202000
50970,165104751,98041316,29735968,201907
50970,182281763,120292133,25825643,201908
50970,184845189,115429677,26795012,201909
50970,194991625,115243513,27645596,201910
50970,197697500,118871619,29002594,201911
51020,2683533,19959,5578,201911
51020,2682285,20870,1363,202000
51030,1202400,0,2121,201907
51030,2652350,1110,0,201908
51803,18660545,18648520,3872,202000
51810,11941894,11547692,394202,201907
51810,19549205,18864121,685084,201908
51810,25396139,24754244,0,201909
51810,18126335,16184564,318588,201910
51810,17412525,17284359,128166,201911
51810,13337801,12902744,0,202000
51840,417683,2240,247025,201910
51840,371412,0,304770,201911
51840,547215,3326,493064,202000
51845,111725670,33183805,48069760,201907
51030,2609935,0,0,201909
51030,410165,1501,7791,201910
51030,749,0,248,201911
51180,1675196,1655064,10082,201909
51180,2842056,2704897,137159,201910
51180,3216786,2795895,0,201911
51180,3257034,3198776,0,202000
51845,125700676,43575200,47401763,201908
51845,101927823,30111273,44064931,201909
51845,116402540,33461925,53312617,201910
51200,11781788,92681,11626663,201907
51200,11931531,18990,11688742,201908
51200,13271350,47893,12734963,201909
51865,2880976,2619142,0,201908
51865,1336188,1336188,0,201909
51865,2714061,2517403,0,201910
51280,4815713,1094064,445018,201908
51280,5298511,915785,991653,201909
51280,5672965,2120485,1134465,201910
51330,464206,345822,0,201907
51330,43080,0,43080,201908
51330,619892,619892,0,201909
51330,180,0,180,201910
51870,34868762,15287012,11381741,202000
51890,8537080,2541411,805511,201907
51890,12569725,3779553,1133701,201908
51890,11202424,3089972,972296,201909
51484,282171,0,84892,201907
51484,190624,0,190624,201908
51484,544498,213901,10260,201909
51484,1025637,54690,0,201910
51941,13219168,3743449,7967481,201909
51941,11984643,4602908,6691161,201910
51941,11745754,4191870,5646439,201911
51941,11598339,4554480,5713100,202000
51500,457050,267306,0,201908
51500,335526,0,0,201909
51500,899776,274981,0,201910
51500,934579,0,0,201911
52040,1262207,2221,354726,201907
52040,363092,8914,345035,201908
52040,326691,3991,322700,201909
52235,1801131,1247603,283223,201910
52235,3547607,2691873,776727,201911
52235,7117102,5462271,432930,202000
51504,8008255,54021,2974295,201908
51504,5336415,42275,1812358,201909
51504,4645157,30506,1152087,201910
51800,840371,791002,0,201908
51800,766006,534857,0,201909
51800,522010,520932,0,201910
51800,476596,453885,0,201911
52240,33623218,29953880,940185,201907
52240,32477004,30076363,503010,201908
52240,30216829,28236301,259524,201909
52240,28884563,26929905,706209,201910
51803,19257962,18784175,146882,201909
51803,16638488,16638488,0,201910
51803,23146440,21988589,188230,201911
52320,29036531,17351338,7121868,201908
52320,31353225,19301837,7669274,201909
52320,37813106,20618180,12074023,201910
52320,29212503,14678666,8665984,201911
51830,7088616,133471,174965,201909
51830,9299114,1351739,412447,201910
51830,9199220,2481998,832465,201911
51830,10594662,1749031,1588787,202000
51840,1160718,82,758354,201907
51840,378417,0,209809,201908
51840,773082,0,764499,201909
52320,28340175,16390842,7324145,202000
52350,2495147,2341866,153281,201907
52350,1870534,1254048,616486,201908
51860,0,0,0,201910
51860,2061,0,901,201911
51860,2501,679,1263,202000
51865,1099610,960521,0,201907
52523,1549540,154801,181679,202000
52560,76019,0,0,201907
52560,13860,0,13860,201908
52560,0,0,0,201911
51870,27317750,9033649,8488110,201909
51870,36120120,14369122,10734105,201910
51870,33270860,13588338,11022624,201911
52680,869027,864807,0,201908
52680,587186,0,575005,201909
52680,244111,0,244111,201910
51920,3706882,2818717,568076,202000
51941,13665576,5111397,6836739,201907
51941,12951972,4027997,6257172,201908
52870,2969507,283493,0,201910
52870,3598899,0,946441,201911
52870,3080387,41941,74904,202000
52940,515771,372083,0,201907
52220,1230266,393160,701742,201908
52220,840367,138043,327607,201909
52220,885652,517196,92538,201910
53010,4769876,4324386,159578,201907
53010,4049982,2968403,197354,201908
53010,3170148,2032768,79694,201909
52230,4752176,4707532,44644,201909
52230,9104036,9102513,1523,201910
52230,4635439,4300437,133855,201911
52297,269346,0,269346,201907
52297,682993,0,456681,201908
52297,371853,0,353804,201909
52297,667650,85386,169327,201910
53115,15316465,11624391,646855,201911
53115,18790356,13529005,868601,202000
53130,3963260,1058655,0,201907
52297,527126,109,473372,201911
52297,544429,0,407512,202000
52320,35971426,21416953,8936580,201907
52480,85134,85134,0,201911
52480,19233,19233,0,202000
52510,2021924,477056,438330,201907
53130,4813964,1175070,0,201908
53130,5765286,1592565,0,201909
53130,5163483,1638068,0,201910
53130,4868319,1028556,351174,201911
52523,1525750,0,79223,201909
52523,1169522,0,78895,201910
52523,742447,86622,61862,201911
52695,3432578,0,839654,202000
52720,12448154,3637369,6021684,201907
52720,14228048,3567343,7049372,201908
52720,15293164,3440688,6530582,201909
52760,26055,0,0,201907
52760,788966,788966,0,201910
52760,281318,202405,0,201911
52760,934117,107374,14508,202000
53020,13798398,3264865,2730301,201911
53020,12377680,2013194,1827430,202000
53050,4209214,0,0,201907
53050,4776493,0,5777,201908
53050,665025,17837,140376,202000
53100,504671,235400,0,201907
53100,222568,217259,0,201908
53100,171425,146786,5304,201909
noPort,1587766343,750297307,313543343,201910
noPort,1723134184,839994756,308520577,201911
noPort,1736870332,826617816,317810065,202000
