,no,name,lat_ddm,lon_ddm,lat_dd,lon_dd
0,53115,AMAMAPARE,4° 49' S,136° 58' E,-4.816666666666666,136.96666666666667
1,52720,AMBON,3° 41' S,128° 10' E,-3.6833333333333336,128.16666666666666
2,51280,AMPENAN,8° 34' S,116° 4' E,-8.566666666666666,116.06666666666666
3,50930,ANYER LOR,6° 3' S,105° 55' E,-6.05,105.91666666666667
4,50340,ARDJUNA OIL FIELD,5° 53' S,107° 43' E,-5.883333333333333,107.71666666666667
5,51840,BALIKPAPAN,1° 15' S,116° 49' E,-1.25,116.81666666666666
6,51890,BANJARMASIN,3° 20' S,114° 35' E,-3.3333333333333335,114.58333333333333
7,50925,BANTEN,6° 1' S,105° 58' E,-6.016666666666667,105.96666666666667
8,52260,BAUBAU,5° 28' S,122° 37' E,-5.466666666666667,122.61666666666666
9,51501,BELANAK FIELD TERMINAL,4° 9' N,106° 15' E,4.15,106.25
10,50730,BELAWAN,3° 47' N,98° 41' E,3.783333333333333,98.68333333333334
11,51484,BELIDA MARINE TERMINAL,4° 8' N,105° 8' E,4.133333333333334,105.13333333333334
12,50790,BENGKALIS,1° 28' N,102° 6' E,1.4666666666666668,102.1
13,50440,BENGKULU,3° 47' S,102° 15' E,-3.783333333333333,102.25
14,51810,BENOA,0° 59' N,117° 58' E,0.9833333333333333,117.96666666666667
15,51260,BENOA,8° 45' S,115° 13' E,-8.75,115.21666666666667
16,52065,BITUNG,1° 26' N,125° 11' E,1.4333333333333333,125.18333333333334
17,50652,BLANGLANCANG,5° 14' N,97° 6' E,5.233333333333333,97.1
18,50180,BLINYU,1° 38' S,105° 47' E,-1.6333333333333333,105.78333333333333
19,51811,BONTANG LNG TERMINAL,0° 6' N,117° 29' E,0.1,117.48333333333333
20,52680,BULA,3° 6' S,130° 30' E,-3.1,130.5
21,51205,CELUKAN BAWANG,8° 11' S,114° 50' E,-8.183333333333334,114.83333333333333
22,51220,CILACAP,7° 44' S,109° 0' E,-7.733333333333333,109.0
23,50350,CINTA OIL TERMINAL,5° 30' S,106° 14' E,-5.5,106.23333333333333
24,51010,CIREBON,6° 43' S,108° 34' E,-6.716666666666667,108.56666666666666
25,50100,DABO,0° 30' S,104° 34' E,-0.5,104.56666666666666
26,52350,DONGGALA,0° 39' S,119° 44' E,-0.65,119.73333333333333
27,50785,DUMAI,1° 41' N,101° 27' E,1.6833333333333333,101.45
28,51340,ENDE,8° 50' S,121° 39' E,-8.833333333333334,121.65
29,53100,FAKFAK,2° 56' S,132° 17' E,-2.9333333333333336,132.28333333333333
30,52090,GORONTALO,0° 30' N,123° 3' E,0.5,123.05
31,51120,GRESIK,7° 9' S,112° 39' E,-7.15,112.65
32,51850,GUNUNG BATU BESAR,2° 37' S,116° 18' E,-2.6166666666666667,116.3
33,50517,JABUNG BATANGHARI MARINE TERMINAL,0° 55' S,104° 4' E,-0.9166666666666666,104.06666666666666
34,50970,JAKARTA,6° 6' S,106° 53' E,-6.1,106.88333333333334
35,53133,JAYAPURA,2° 32' S,140° 43' E,-2.533333333333333,140.71666666666667
36,53045,KASIM TERMINAL,1° 18' S,131° 1' E,-1.3,131.01666666666668
37,52240,KENDARI,3° 58' S,122° 35' E,-3.966666666666667,122.58333333333333
38,50045,KIJANG,0° 51' N,104° 36' E,0.85,104.6
39,52230,KOLONODALE,1° 59' S,121° 20' E,-1.9833333333333334,121.33333333333333
40,51860,KOTA BARU,3° 14' S,116° 13' E,-3.2333333333333334,116.21666666666667
41,50740,KUALA KAPUS,3° 0' N,114° 22' E,3.0,114.36666666666666
42,50518,KUALA TANJUNG,3° 22' N,99° 29' E,3.3666666666666667,99.48333333333333
43,51920,KUMAI,2° 45' S,111° 43' E,-2.75,111.71666666666667
44,51400,KUPANG,10° 10' S,123° 35' E,-10.166666666666666,123.58333333333333
45,52523,LABUHA,0° 38' S,127° 28' E,-0.6333333333333333,127.46666666666667
46,51290,LABUHANHAJI,8° 42' S,116° 34' E,-8.7,116.56666666666666
47,50070,LALANG MARINE TERMINAL,1° 11' N,102° 13' E,1.1833333333333333,102.21666666666667
48,51330,LARANTUKA,8° 21' S,122° 59' E,-8.35,122.98333333333333
49,51845,LAWI LAWI OIL TERMINAL,1° 27' S,116° 46' E,-1.45,116.76666666666667
50,50650,LHOKSEUMAWE,5° 15' N,97° 7' E,5.25,97.11666666666666
51,51780,LINGKAS,3° 17' N,117° 36' E,3.283333333333333,117.6
52,52220,LUWUK,0° 57' S,122° 48' E,-0.95,122.8
53,52040,MANADO,1° 30' N,124° 50' E,1.5,124.83333333333333
54,52235,MANGKASA OIL TERMINAL,2° 44' S,121° 4' E,-2.7333333333333334,121.06666666666666
55,53010,MANOKWARI ROAD,0° 52' S,134° 5' E,-0.8666666666666667,134.08333333333334
56,51320,MAUMERE,8° 37' S,122° 13' E,-8.616666666666667,122.21666666666667
57,50922,MERAK MAS TERMINAL,5° 55' S,105° 59' E,-5.916666666666667,105.98333333333333
58,53130,MERAUKE,8° 29' S,140° 23' E,-8.483333333333333,140.38333333333333
59,53000,MIEI,2° 44' S,134° 30' E,-2.7333333333333334,134.5
60,50140,MUNTOK,2° 4' S,105° 10' E,-2.066666666666667,105.16666666666667
61,52760,NAMLEA,3° 17' S,127° 5' E,-3.283333333333333,127.08333333333333
62,51855,NORTH PULAU LAUT COAL TERMINAL,3° 12' S,116° 17' E,-3.2,116.28333333333333
63,50330,PALEMBANG,2° 59' S,104° 46' E,-2.9833333333333334,104.76666666666667
64,51200,PANARUKAN,7° 42' S,113° 56' E,-7.7,113.93333333333334
65,50700,PANGKALANSUSU,4° 7' N,98° 13' E,4.116666666666666,98.21666666666667
66,50210,PANGKALPINANG,2° 7' S,106° 8' E,-2.1166666666666667,106.13333333333334
67,50380,PANJANG,5° 28' S,105° 19' E,-5.466666666666667,105.31666666666666
68,52297,PAREPARE,4° 0' S,119° 37' E,-4.0,119.61666666666666
69,52560,PATANI,0° 22' N,128° 45' E,0.36666666666666664,128.75
70,51030,PEKALONGAN,6° 51' S,109° 42' E,-6.85,109.7
71,50971,POLENG OIL FIELD,6° 39' S,112° 55' E,-6.65,112.91666666666667
72,52295,POMALAA,4° 10' S,121° 36' E,-4.166666666666667,121.6
73,51941,PONTIANAK,0° 1' S,109° 20' E,-0.016666666666666666,109.33333333333333
74,52140,POSO,1° 22' S,120° 45' E,-1.3666666666666667,120.75
75,51180,PROBOLINGGO,7° 43' S,113° 13' E,-7.716666666666667,113.21666666666667
76,50441,PULAU BAAI,3° 55' S,102° 17' E,-3.9166666666666665,102.28333333333333
77,50060,PULAU SAMBU,1° 10' N,103° 54' E,1.1666666666666667,103.9
78,52270,RAHA ROADSTEAD,4° 51' S,122° 44' E,-4.85,122.73333333333333
79,50231,RAMBA,2° 37' S,104° 8' E,-2.6166666666666667,104.13333333333334
80,51070,REMBANG,6° 42' S,111° 21' E,-6.7,111.35
81,50610,SABANG,5° 53' N,95° 19' E,5.883333333333333,95.31666666666666
82,53050,SAILOLOF,1° 15' S,130° 45' E,-1.25,130.75
83,52695,SALAWATI,1° 21' S,130° 59' E,-1.35,130.98333333333332
84,51820,SAMARINDA,0° 31' S,117° 7' E,-0.5166666666666667,117.11666666666666
85,51910,SAMPIT,2° 31' S,113° 0' E,-2.5166666666666666,113.0
86,52870,SAUMLAKI,7° 59' S,131° 18' E,-7.983333333333333,131.3
87,50055,SEKUPANG,1° 8' N,103° 55' E,1.1333333333333333,103.91666666666667
88,51040,SEMARANG,6° 57' S,110° 25' E,-6.95,110.41666666666667
89,51830,SENIPAH OIL TERMINAL,0° 57' S,117° 10' E,-0.95,117.16666666666667
90,52940,SERUI,1° 54' S,136° 15' E,-1.9,136.25
91,50510,SIBOLGA,1° 44' N,98° 46' E,1.7333333333333334,98.76666666666667
92,51870,STAGEN,3° 18' S,116° 9' E,-3.3,116.15
93,50300,SUNGAIGERONG,2° 59' S,104° 50' E,-2.9833333333333334,104.83333333333333
94,50805,SUNGAIPAKNING,1° 21' N,102° 10' E,1.35,102.16666666666667
95,51130,SURABAYA,7° 12' S,112° 44' E,-7.2,112.73333333333333
96,52440,TAHUNA,3° 37' N,125° 29' E,3.6166666666666667,125.48333333333333
97,51865,TANAH MERAH,1° 49' S,116° 10' E,-1.8166666666666667,116.16666666666667
98,51770,TANJUNG ARANG  (BUNYU),3° 28' N,117° 50' E,3.466666666666667,117.83333333333333
99,50516,TANJUNG BALAI KARIMUN,0° 59' N,103° 26' E,0.9833333333333333,103.43333333333334
100,51254,TANJUNG BENETE,8° 54' S,116° 45' E,-8.9,116.75
101,50932,TANJUNG GEREM,5° 58' S,105° 59' E,-5.966666666666667,105.98333333333333
102,50250,TANJUNGPANDAN,2° 45' S,107° 38' E,-2.75,107.63333333333334
103,50040,TANJUNGPINANG,0° 55' N,104° 27' E,0.9166666666666666,104.45
104,51800,TANJUNGREDEB,2° 9' N,117° 29' E,2.15,117.48333333333333
105,51803,TANJUNG SANGATA,0° 22' N,117° 34' E,0.36666666666666664,117.56666666666666
106,51815,TANJUNG SANTAN,0° 6' S,117° 32' E,-0.1,117.53333333333333
107,50935,TANJUNG SEKONG,5° 55' S,106° 0' E,-5.916666666666667,106.0
108,50030,TANJUNGUBAN,1° 4' N,104° 13' E,1.0666666666666667,104.21666666666667
109,51500,TAREMPAH,3° 13' N,106° 13' E,3.216666666666667,106.21666666666667
110,51020,TEGAL,6° 51' S,109° 8' E,-6.85,109.13333333333334
111,50450,TELUK BAYUR,1° 0' S,100° 22' E,-1.0,100.36666666666666
112,52480,TELUK BEO,4° 14' N,126° 47' E,4.233333333333333,126.78333333333333
113,52510,TERNATE,0° 47' N,127° 23' E,0.7833333333333333,127.38333333333334
114,53020,TG. SORONG,0° 53' S,131° 14' E,-0.8833333333333333,131.23333333333332
115,50120,TOBOALI,3° 1' S,106° 27' E,-3.0166666666666666,106.45
116,51100,TUBAN,6° 44' S,112° 9' E,-6.733333333333333,112.15
117,51502,UDANG OILFIELD,4° 2' N,106° 29' E,4.033333333333333,106.48333333333333
118,52320,UJUNG PANDANG,5° 8' S,119° 24' E,-5.133333333333334,119.4
119,50600,ULEELHEUE,5° 34' N,95° 17' E,5.566666666666666,95.28333333333333
120,52660,WAHAI,2° 47' S,129° 30' E,-2.783333333333333,129.5
121,51350,WAINGAPU,9° 38' S,120° 13' E,-9.633333333333333,120.21666666666667
122,51504,WIDURI MARINE TERMINAL,4° 40' S,106° 39' E,-4.666666666666667,106.65
